Creating sequence-to-sequences 
with attention mechanism 

2016-08-09 01:12:38.541853
 1 layers of 2048 units  2 context size 128 bach-size. 
 128 batch size 2542 number of steps to complete one epoch 
global step 100 learning rate 0.0010 step-time 0.15 loss 1.91  perplexity 6.72 
global step 200 learning rate 0.0010 step-time 0.15 loss 1.47  perplexity 4.35 
global step 300 learning rate 0.0010 step-time 0.15 loss 1.32  perplexity 3.73 
global step 400 learning rate 0.0010 step-time 0.15 loss 1.29  perplexity 3.63 
global step 500 learning rate 0.0010 step-time 0.15 loss 1.27  perplexity 3.55 
global step 600 learning rate 0.0010 step-time 0.15 loss 1.25  perplexity 3.50 
global step 700 learning rate 0.0010 step-time 0.15 loss 1.25  perplexity 3.50 
global step 800 learning rate 0.0010 step-time 0.15 loss 1.23  perplexity 3.43 
global step 900 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.44 
global step 1000 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.46 
global step 1100 learning rate 0.0010 step-time 0.15 loss 1.25  perplexity 3.51 
global step 1200 learning rate 0.0010 step-time 0.15 loss 1.23  perplexity 3.42 
global step 1300 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.46 
global step 1400 learning rate 0.0010 step-time 0.15 loss 1.23  perplexity 3.42 
global step 1500 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.46 
global step 1600 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.47 
global step 1700 learning rate 0.0010 step-time 0.15 loss 1.25  perplexity 3.49 
global step 1800 learning rate 0.0010 step-time 0.15 loss 1.25  perplexity 3.47 
global step 1900 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.46 
global step 2000 learning rate 0.0010 step-time 0.15 loss 1.25  perplexity 3.50 
global step 2100 learning rate 0.0010 step-time 0.15 loss 1.24  perplexity 3.47 
global step 2200 learning rate 0.0010 step-time 0.15 loss 1.22  perplexity 3.39 
global step 2300 learning rate 0.0010 step-time 0.15 loss 1.26  perplexity 3.53 
global step 2400 learning rate 0.0010 step-time 0.15 loss 1.23  perplexity 3.43 
