Creating sequence-to-sequences 
with attention mechanism 

2016-08-08 20:03:10.157469
 2 layers of 512 units  2 context size 128 bach-size. 
 128 batch size 2542 number of steps to complete one epoch 
global step 100 learning rate 0.0010 step-time 0.08 loss 1.89  perplexity 6.62 
global step 200 learning rate 0.0010 step-time 0.07 loss 1.45  perplexity 4.28 
global step 300 learning rate 0.0010 step-time 0.07 loss 1.35  perplexity 3.86 
global step 400 learning rate 0.0010 step-time 0.07 loss 1.28  perplexity 3.60 
global step 500 learning rate 0.0010 step-time 0.07 loss 1.22  perplexity 3.39 
global step 600 learning rate 0.0010 step-time 0.07 loss 1.19  perplexity 3.28 
global step 700 learning rate 0.0010 step-time 0.07 loss 1.19  perplexity 3.28 
global step 800 learning rate 0.0010 step-time 0.07 loss 1.17  perplexity 3.23 
global step 900 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.18 
global step 1000 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.18 
global step 1100 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.18 
global step 1200 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.19 
global step 1300 learning rate 0.0010 step-time 0.07 loss 1.15  perplexity 3.15 
global step 1400 learning rate 0.0010 step-time 0.07 loss 1.15  perplexity 3.17 
global step 1500 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.14 
global step 1600 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.11 
global step 1700 learning rate 0.0010 step-time 0.07 loss 1.15  perplexity 3.16 
global step 1800 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.12 
global step 1900 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 2000 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 2100 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 2200 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.13 
global step 2300 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.11 
global step 2400 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 2500 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.08 
epoch  0 finished 
  train:  loss 1.1281 perplexity 3.0897 
  eval:  loss 1.1426 perplexity 3.1349 
global step 2600 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.11 
global step 2700 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
global step 2800 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 2900 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.08 
global step 3000 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.09 
global step 3100 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
global step 3200 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.05 
global step 3300 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
global step 3400 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 3500 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 3600 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 3700 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 3800 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.11 
global step 3900 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.08 
global step 4000 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.08 
global step 4100 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 4200 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.09 
global step 4300 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 4400 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 4500 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 4600 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 4700 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 4800 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 4900 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 5000 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.05 
epoch  1 finished 
  train:  loss 1.1127 perplexity 3.0427 
  eval:  loss 1.1333 perplexity 3.1060 
